Timestamp,Username,VideoID,Text,Date,Boolean
2024-10-08T22:46:34Z,@GrahamStephan,nGF4-8gRyn4,Take your personal data back with Incogni! Use code GRAHAM at the link below and get 60% off an annual plan: https://incogni.com/graham,2024-10-08T22:46:34Z,0
2024-10-09T18:50:52Z,@KBWFreedomthrurealestate,nGF4-8gRyn4,Facade of American Culture!,2024-10-09T18:50:52Z,0
2024-10-09T18:30:14Z,@Damnboiden,nGF4-8gRyn4,"I have seen super wealthy wearing Lux brands and I have seen wealthy people wearing cheap brands, its all about priorities, I think you should mind your own business.",2024-10-09T18:30:14Z,0
2024-10-09T17:34:41Z,@davidmacgown321,nGF4-8gRyn4,"Look poor, wear payless shoes and a cheap watch, drive a 15 year old sedan - great advice if you're married but if you are a single man you have to market yourself to attract women like they market their beauty (instagram) when women find 80% of single men unattractive you have to stand out because women will only consider dating you when they see evidence of success.",2024-10-09T17:34:41Z,0
2024-10-09T17:34:15Z,@TechVibeReviews1,nGF4-8gRyn4,How is the coffee business going?,2024-10-09T17:34:15Z,0
2024-10-09T17:07:36Z,@deploy3769,nGF4-8gRyn4,"You still bought that useless €400k Ford , you have been Hippocrate . I know someone rich as you and about the same age as you driving 17 years Low miles VW Golf GT he paid €4K a year ago & it’s the only car he has .",2024-10-09T17:07:36Z,0
2024-10-09T14:16:38Z,@finance485,nGF4-8gRyn4,I drive a 2012 Honda civic even though I can afford a Mercedes. Never been robbed.,2024-10-09T14:16:38Z,0
2024-10-09T13:21:27Z,@josefernandezborges8431,nGF4-8gRyn4,"Buy time, freedom, and flexibility is my priority.",2024-10-09T13:21:27Z,0
2024-10-09T12:57:28Z,@surmitgupta,nGF4-8gRyn4,I traded for over five years and wasn't still making nothing. It was pain upon pain that I thought the whole idea of short time trading is pointless and deception until I meet with Franklin FX last year. I've made approximately 70k from my 3k investment. Now learning in his class and mentorship program that has just five of us..,2024-10-09T12:57:28Z,0
2024-10-09T15:21:37Z,@MichaelMeng-TsungLiu,nGF4-8gRyn4,"Franklin should try and make things official, I don't know why some people that do great things don't do much publicity.",2024-10-09T15:21:37Z,0
2024-10-09T08:34:47Z,@romanmenyhart,nGF4-8gRyn4,"The *experience* of signing up for, pre-ordering, and then getting the first iPad becoming probably the first person in Europe to have the very first tablet ever made. Yeah! 😁 But agree, just wanted to say that some buying experiences can be a full-on experience, too. 😉",2024-10-09T08:34:47Z,0
2024-10-09T03:56:40Z,@JBasco.,nGF4-8gRyn4,Like wearing a chronograph 😉,2024-10-09T03:56:40Z,0
2024-10-09T03:53:54Z,@justgothookedfishing2317,nGF4-8gRyn4,I love how he says “money gives you options”. Well said,2024-10-09T03:53:54Z,0
2024-10-09T03:26:02Z,@TheInsomniaddict,nGF4-8gRyn4,Overspending on designer brands with large logos makes you hood rich.  Being hood rich gets you laid.  That's why people show off at the end of the day.  Only reason for it.,2024-10-09T03:26:02Z,0
2024-10-09T00:46:35Z,@GCSTRADE09,nGF4-8gRyn4,What was that coffee thing,2024-10-09T00:46:35Z,0
2024-10-09T00:06:12Z,@IvanBustos,nGF4-8gRyn4,"I’ve seen a lot of these “look poor” videos, but I think many of them are missing a point. You can avoid excess spending and unnecessary luxury goods without “looking poor”. Well-fitting clothes, good grooming, and classic/timeless taste can go a long way. It’s not like we have to decide between Gucci or “look poor”. You can look very classy and upscale on a budget. The reason I say this is because I think some people are going too far in the opposite direction and risk coming across as unkempt or lazy. Even when my family was poor they taught me to look clean and presentable to the world. It had nothing to do with gaudy clothing or brand flexing. There is a middle ground where you don’t have to “look poor” but you also don’t have to spend excessively to achieve a nice look.",2024-10-09T00:06:12Z,0
2024-10-08T21:45:14Z,@SuMMeRFLi5,nGF4-8gRyn4,"Good talk Graham. Admittedly, I have a fondness for CHANEL. But you're right, best thing is to drive a car until the wheels fall off. ❤",2024-10-08T21:45:14Z,0
2024-10-08T20:48:12Z,@radusoldan1340,nGF4-8gRyn4,lambo in the background ... sure,2024-10-08T20:48:12Z,0
2024-10-08T19:58:50Z,@kylefordinvest,nGF4-8gRyn4,Interesting take on a unique topic. Thanks for sharing!,2024-10-08T19:58:50Z,0
2024-10-08T18:44:25Z,@manuelchavez4010,nGF4-8gRyn4,Got it. Spending all my money on stock options.,2024-10-08T18:44:25Z,0
2024-10-08T17:31:59Z,@tf628,nGF4-8gRyn4,"everyone shows off
you show off your car EVERY video lol",2024-10-08T17:31:59Z,0
2024-10-08T16:16:14Z,@Changeurselfchangetheworld,nGF4-8gRyn4,I actually am poor. Very poor. Living off of a meager SSI check and some food stamps. They actually took off my food stamps for this whole month and I barely have food in my fridge. I'm buying canned food at the dollar stores to get by 😮😢. I don't have to fake it I actually live it.,2024-10-08T16:16:36Z,0
2024-10-08T15:28:55Z,@zj5267,nGF4-8gRyn4,Why don’t you look poor Graham? Flasing your massive beautiful home and so on …,2024-10-08T15:28:55Z,0
2024-10-08T15:08:42Z,@davidg11134,nGF4-8gRyn4,looking poor is important ....lol says that while the ford gt is in the back,2024-10-08T15:08:42Z,0
2024-10-08T10:10:09Z,@robertrodriguez3614,nGF4-8gRyn4,Thank you for the great content!,2024-10-08T10:10:09Z,0
2024-10-08T07:55:13Z,@JosPlays,nGF4-8gRyn4,Long story short: Just live on less than you make and don't care what other people think :),2024-10-08T07:55:13Z,0
2024-10-08T02:49:41Z,@tabbycat8511,nGF4-8gRyn4,"Hard nor to laugh when you try to make a $140,000 car seem like the sensible alternative.

Newsflash:  that Audi is a luxury car too.  There’s no reason to spend even that much on a car.",2024-10-08T02:49:41Z,0
2024-10-07T20:41:03Z,@lauragraves2948,nGF4-8gRyn4,"I couldn’t love this anymore 💕 💯 agree!! I love by this. I also found, the more I had to show, the more those around me became resentful and less giving towards me. It became an expectation I pay for things.",2024-10-07T20:41:03Z,0
2024-10-07T20:04:50Z,@AlphaConviction,nGF4-8gRyn4,BEING RICH > LOOKING RICH,2024-10-07T20:04:50Z,0
2024-10-07T19:54:00Z,@lauraweinbrenner6,nGF4-8gRyn4,"I think social media also plays such a big part in this. People see YouTubers, IG accounts, etc buying things and ""styling"" themselves or their homes or ""hacks"" or even ""Amazon finds/must haves"" and you get sucked into getting those items too. It is very easy to do. I have definitely bought something I didn't need just because it was ""asthetic""",2024-10-07T19:54:00Z,0
2024-10-07T12:22:58Z,@TiagoRamosVideos,nGF4-8gRyn4,7:29 key 👌,2024-10-07T12:22:58Z,0
2024-10-07T08:34:56Z,@chino1127,nGF4-8gRyn4,"I don't see the point of this video.  People should be free to buy what they want and not be judged by Youtubers or others.  If they want to peacock and show off, why not.  Many may not care or may not notice, but perhaps in their social circle or culture it is valued.  Maybe it's not.  That's the point.  Let them be.  To some, showcasing a $400,000 sports car in your background could seem like an ostentatious display of wealth or a ""dumb waste of money.""  To others, they may appreciate it as a rare, appreciating piece of collectible art and to most, they may not notice or care.",2024-10-07T08:34:56Z,0
2024-10-07T07:45:00Z,@millymil4198,nGF4-8gRyn4,"First off I just want to say. Looking poor isn't a ""good look."" I don't know why anyone would want to look like someone who has it worse off than they do. But this can be interpreted both ways. Some people try just as hard to look poor as people that try twice as hard to look rich. Generally, you shouldn't ""try"" to do anything in life. If it doesn't feel or come natural it probably isn't for you in the first place.",2024-10-07T07:45:00Z,0
2024-10-07T06:20:38Z,@notfunnydidntlaugh8621,nGF4-8gRyn4,"So basically look like you invested everything into ftx, right?",2024-10-07T06:20:38Z,0
2024-10-07T05:14:10Z,@ralphadams9113,nGF4-8gRyn4,So who's the bigger poser? A poor man with LV  gear of a rich man with LV knockoffs?,2024-10-07T05:14:10Z,0
2024-10-07T00:14:54Z,@JA-zh5xi,nGF4-8gRyn4,"I don’t spend lots of money on clothes, paid off my house in my 40’s while all my friends will be paying on their homes into their 60’s. That’s a sad life to me.",2024-10-07T00:14:54Z,0
2024-10-06T23:28:34Z,@mikes554,nGF4-8gRyn4,I love my $15 pants from Costco. I’m good with this.,2024-10-06T23:28:34Z,0
2024-10-06T22:41:33Z,@EsperanzaValentina-cd7xt,nGF4-8gRyn4,"Big companies do a great job with their branding and marketing, and in other words, they do a great job in taking peoples money for similar quality. Glad im not one of them lol",2024-10-06T22:41:33Z,0
2024-10-06T21:23:05Z,@inspirationandlearning1995,nGF4-8gRyn4,brilliant,2024-10-06T21:23:05Z,0
2024-10-06T19:15:44Z,@DecBytes,nGF4-8gRyn4,How much is that poor man's car in the background?,2024-10-06T19:15:44Z,0
2024-10-06T17:45:00Z,@josephkennedy3541,nGF4-8gRyn4,Gr8 advice.,2024-10-06T17:45:00Z,0
2024-10-06T17:08:34Z,@tpol6515,nGF4-8gRyn4,I am looking poor without trying.  That is a term only for true wealthy.  I am how ever living poor comfortably.,2024-10-06T17:08:34Z,0
2024-10-06T13:09:53Z,@VBoo459,nGF4-8gRyn4,"A lot of bullshit in this video. Videos like this are always being made by people who aren’t even in that wealthy class. Meanwhile, actual wealthy people buy and look however TF they want and it can vary. Be yourself. Stop pretending to be rich OR POOR! And also looking poor tends to lead to disrespect towards you. How silly.",2024-10-06T13:09:53Z,0
2024-10-06T12:41:15Z,@truhunk1,nGF4-8gRyn4,I don't wear name brands because I don't want people thinking I'm stupid enough to buy them.,2024-10-06T12:41:15Z,0
2024-10-06T11:42:19Z,@suzannecuerrier279,nGF4-8gRyn4,You're very wise for a young man.,2024-10-06T11:42:19Z,0
2024-10-06T04:57:24Z,@Sploitheworld,nGF4-8gRyn4,I Disagree it depends on where you are and the environment. Don’t take it the wrong way you still need to look nice society judges you no matter if you like it or not,2024-10-06T04:57:24Z,0
2024-10-06T04:43:34Z,@arceliahernandez1329,nGF4-8gRyn4,"You were very quiet on the port strike and the market crash, and this is the best you can come up with?",2024-10-06T04:43:34Z,0
2024-10-06T02:55:11Z,@Hunt_G2,nGF4-8gRyn4,"I love playing a game called “I could buy that,” but I don't. It's so satisfying.",2024-10-06T02:55:11Z,0
2024-10-05T23:13:54Z,@doniakbar5167,nGF4-8gRyn4,What?? This scamtuber making videos again😮,2024-10-05T23:13:54Z,0
2024-10-05T22:18:04Z,@benhaze1010,nGF4-8gRyn4,I first made a funny comment about that GT40 behind you to then delete it because your message here is so good.,2024-10-05T22:30:22Z,0
2024-10-05T22:01:43Z,@MexaDeSentimiento,nGF4-8gRyn4,Ok but how do I tell this to my wife? 😆,2024-10-05T22:01:43Z,0
2024-10-05T21:00:13Z,@leoskiii5860,nGF4-8gRyn4,This whole video seems like a sneaky advert…,2024-10-05T21:00:13Z,0
2024-10-05T17:23:40Z,@FinancialCoachJess,nGF4-8gRyn4,"Should have been titled ""why having options is important"" 

Looking poor is not a flex",2024-10-05T17:23:40Z,0
2024-10-05T15:28:59Z,@louisdicarlo8569,nGF4-8gRyn4,"Am I the only one who thought the b-roll of  the protein powder said ""pizza dough"" 🍕  😂. 

Also, pro tip: If you're adding protein to your iced coffee, be sure to add it when the coffee is hot so it breaks down properly, then add your ice.  

Thank you for another great video. ☕",2024-10-05T15:31:27Z,0
2024-10-05T12:47:34Z,@jamiesteiger6140,nGF4-8gRyn4,"I have gotten tired of the term “look poor”. 

You did a great job explaining put money on what you value. More people need to look at this.",2024-10-05T12:47:34Z,0
2024-10-05T10:08:14Z,@symbolsandsystems,nGF4-8gRyn4,Wisdom = knowing what is good to want,2024-10-05T10:08:14Z,0
2024-10-05T09:24:37Z,@sladesurfer,nGF4-8gRyn4,"Not only i look poor, i am poor",2024-10-05T09:24:37Z,0
2024-10-05T09:02:23Z,@sarasalreta,nGF4-8gRyn4,great theme ;),2024-10-05T09:02:23Z,0
2024-10-05T08:42:41Z,@suspiciousafternoon,nGF4-8gRyn4,Buying designer stuff are the biggest trap. I'm glad you started with that one,2024-10-05T08:42:41Z,0
2024-10-05T07:51:16Z,@bosssavage3325,nGF4-8gRyn4,Idk about looking “poor” but I think looking “normal” is fine.,2024-10-05T07:51:16Z,0
2024-10-05T05:48:04Z,@RafaelTruthseeker,nGF4-8gRyn4,Good video Stephan. Good of you to share this 👍,2024-10-05T05:48:04Z,0
2024-10-05T02:28:43Z,@irrelevantjoker37,nGF4-8gRyn4,You need kids,2024-10-05T02:28:43Z,0
